,p_max,p_min,p_avg,p_std,p_var,p_mid,vx_max,vx_min,vx_avg,vx_std,vx_var,vx_mid,vy_max,vy_min,vy_avg,vy_std,vy_var,vy_mid
5_631,0.9574553,-1.2654209,-0.14128606,0.4165637,0.1735253,0.07610703,103.78755,0.0,68.059944,19.599663,384.14676,67.779526,75.50212,-14.97508,3.7595432,11.028633,121.63075,2.7289891
5_632,0.9889374,-1.7708508,-0.13692722,0.39490238,0.15594788,0.06673254,109.099205,-1.2434682,67.94363,19.566835,382.86108,67.853195,81.895294,-16.817276,3.9717894,10.427304,108.72868,2.8560338
5_633,0.98329693,-1.7990109,-0.14640948,0.45950627,0.21114603,0.04542292,116.74993,0.0,67.09753,20.900005,436.81024,67.29035,69.07841,-19.80009,3.945923,12.315398,151.66904,2.1705604
5_634,0.98166156,-1.3754921,-0.16366005,0.44658566,0.19943875,0.075550586,105.913376,-4.1599765,67.45849,21.895145,479.3974,67.889656,74.35217,-16.643602,4.2845054,12.073771,145.77596,2.9868486
5_635,0.9824556,-1.5789112,-0.15872987,0.42629027,0.18172339,0.022192758,107.60504,-2.8231783,67.21343,21.834055,476.72592,68.47853,75.76209,-19.862877,4.259885,11.8329,140.01752,3.260837
5_636,0.9878675,-1.6118574,-0.15731227,0.46107885,0.21259372,0.057918936,112.392555,-2.1073065,67.05741,21.183578,448.74402,67.80561,63.746986,-21.524595,4.1561017,12.618179,159.21846,2.7826462
5_637,0.9896714,-1.4862249,-0.15994272,0.45039234,0.20285325,0.0404883,111.15498,0.0,67.909225,20.792944,432.3465,67.905975,71.92632,-20.138178,3.9433646,12.476711,155.66832,2.9812567
5_638,0.98358935,-1.4163598,-0.13952821,0.42078048,0.17705622,0.08011088,108.24741,-3.112234,67.67967,19.206882,368.90436,68.226006,70.98466,-18.36579,3.8423722,11.357168,128.98526,2.930833
5_639,0.97905606,-1.6677145,-0.15442774,0.45885095,0.2105442,0.08403961,113.53738,-2.392225,66.31197,22.6836,514.5457,67.38329,68.182785,-19.577198,4.1216207,12.178269,148.31024,2.2469656
5_640,0.987178,-1.3232238,-0.12650542,0.42707014,0.1823889,0.074468605,106.72351,-0.9879272,67.89817,18.806059,353.66788,67.25927,75.023766,-18.064646,3.5943727,10.960773,120.13855,1.7474365
5_641,0.9890491,-1.5806171,-0.167054,0.45520625,0.20721273,0.004794326,112.89877,-3.2705555,66.71295,22.908829,524.81445,67.98344,69.15873,-18.592184,4.495104,12.681154,160.81168,3.210516
5_642,0.98695743,-1.2088605,-0.13265565,0.38271043,0.14646727,0.035075374,102.75387,-2.3133316,68.13501,18.152998,329.5313,68.63815,74.24425,-14.766656,3.674465,10.378448,107.71217,3.0576599
5_643,0.9601538,-1.547066,-0.13619937,0.4212877,0.1774833,0.05089622,110.94292,0.0,67.729706,18.846199,355.17923,68.17726,66.440735,-14.608286,3.6360817,11.33833,128.55772,2.5124063
5_644,0.97319883,-1.4903029,-0.13759373,0.40848684,0.1668615,0.04039388,109.793144,0.0,67.51206,19.331543,373.7086,68.87436,64.80272,-18.49965,3.649642,11.381293,129.53384,2.5331988
5_645,0.9656217,-1.7497278,-0.13534747,0.43141806,0.18612154,0.07249234,113.38908,0.0,67.35408,20.200798,408.07224,67.85373,74.5695,-17.11579,3.5507643,11.340039,128.5965,1.7601191
5_646,0.97874385,-1.3708754,-0.1461064,0.46898726,0.21994904,0.09466657,107.10974,-0.06124923,66.83197,21.069584,443.9274,66.63714,70.93558,-17.565512,4.0139265,12.161113,147.89267,2.6089845
5_647,0.9861979,-1.7018174,-0.13388301,0.40225735,0.16181098,0.0211824,111.52404,-3.1337788,67.79501,19.128494,365.89926,68.48843,79.642235,-20.119625,3.8355875,10.882424,118.42716,2.9704897
5_648,0.9946528,-1.9371817,-0.12712246,0.39310297,0.15452996,0.07530311,113.09558,-0.8536412,67.16837,19.045002,362.71213,68.340744,82.50231,-19.26784,3.7361834,10.238046,104.81757,2.8761816
5_649,0.9811174,-1.2790717,-0.15186715,0.44353366,0.1967221,0.08115365,106.155014,-4.364746,67.10691,21.748568,473.00018,67.29465,68.05354,-16.971397,4.120734,11.789158,138.98424,2.2521834
5_650,0.97344184,-1.2426854,-0.149763,0.43134388,0.18605754,0.087291524,105.53929,-1.9284358,68.17432,20.025087,401.0041,67.48813,72.76268,-16.938463,3.9228745,11.473582,131.64308,2.880389
5_651,0.9768008,-1.3389523,-0.13992967,0.42054775,0.1768604,0.07254284,106.60147,-0.9331937,67.98576,18.798244,353.374,68.03806,70.06153,-15.694123,3.7824507,11.307347,127.856094,2.439866
5_652,0.987353,-1.231833,-0.15686482,0.4037382,0.16300453,0.03525217,104.159164,-2.1872654,67.87798,20.321257,412.9535,69.114685,73.047134,-20.888273,4.1234336,11.329052,128.34743,3.2691083
5_653,0.9779177,-1.5928104,-0.14992519,0.4471711,0.19996199,0.08352712,109.51672,-2.4767163,68.01176,19.931038,397.24625,66.76354,75.87259,-18.723663,3.8427308,11.854696,140.53381,2.6828
5_654,0.9868878,-1.4894917,-0.16648732,0.42139512,0.17757386,-0.0039343648,109.47144,-5.24899,67.31653,22.1668,491.36697,68.59179,69.434044,-19.795004,4.603026,11.996148,143.90756,3.6538897
5_655,0.99591714,-1.1916922,-0.15275857,0.41142505,0.16927058,0.03263972,104.56137,-5.0297327,68.18067,19.96364,398.5469,68.10878,79.45071,-18.574759,4.225761,11.333845,128.45605,3.6454127
5_656,0.96197605,-1.4379529,-0.13775396,0.42650625,0.18190758,0.08519377,108.123795,0.0,67.47024,19.651438,386.179,67.92189,64.69956,-17.686523,3.6897392,11.409656,130.18024,2.2869706
5_657,0.9934179,-1.7006363,-0.16336972,0.5008471,0.25084782,0.07623993,115.63554,-1.1030606,67.18502,21.928158,480.84412,66.61963,66.68813,-18.426483,4.299203,13.259955,175.82642,2.6287398
5_658,0.96863127,-1.4043522,-0.13605373,0.36695784,0.13465807,0.0075495164,107.46404,0.0,67.49195,18.041134,325.48254,69.93731,60.496845,-21.592085,3.3352911,10.654989,113.52879,2.7822351
5_659,0.97679037,-1.5554943,-0.13887495,0.4335062,0.18792762,0.07769479,105.777115,0.0,67.22876,20.921122,437.69333,67.11579,76.06451,-15.684381,3.7753415,11.204372,125.53796,2.014587
5_660,0.9748431,-1.6971347,-0.1700102,0.5021812,0.2521859,0.09504194,115.807434,-2.7566395,67.18279,22.517424,507.03436,66.69508,66.45557,-19.570843,4.439795,13.190037,173.97707,2.6007028
5_661,0.97716653,-1.5708292,-0.15566584,0.46844757,0.21944313,0.063093066,111.77887,0.0,67.16801,21.352041,455.90967,67.501465,68.37506,-17.578064,4.0146365,12.567842,157.95064,2.9563198
5_662,0.9736766,-1.7521832,-0.13632153,0.41513965,0.17234091,0.06725638,109.03992,-4.1223316,67.15351,20.090801,403.6403,67.76639,77.833405,-18.743446,3.7817519,10.7809725,116.22938,2.1186845
5_663,0.98888296,-1.4605957,-0.1470176,0.4382356,0.19205046,0.07734857,106.0345,-0.45871478,67.68802,20.34652,413.98087,67.130554,76.48644,-17.85311,3.963263,11.609093,134.77104,2.788563
5_664,0.98836994,-1.5116086,-0.16324034,0.48265162,0.2329526,0.06561561,110.58466,-5.193414,66.98695,22.315,497.95923,66.968575,71.336,-15.877271,4.258168,12.815413,164.23482,2.5729227
5_665,0.98896044,-1.6344628,-0.17217703,0.46963286,0.22055502,0.029568093,114.635086,-2.8482149,66.08282,24.099037,580.76355,68.14987,66.96492,-23.831858,4.5471225,12.905418,166.54984,2.6697013
5_666,0.99298006,-1.632062,-0.16794272,0.4739057,0.22458664,0.03332341,111.87954,-7.9991713,65.56812,23.82323,567.5463,68.05823,68.98244,-18.060331,4.2903066,12.815089,164.22652,2.8895185
5_667,0.98807174,-1.7278965,-0.1505558,0.44027027,0.19383793,0.055233896,115.79271,-0.3410688,67.78817,20.023254,400.93073,68.08153,67.202934,-18.458237,3.9097488,12.09301,146.24089,3.1474628
5_668,0.96961975,-1.742936,-0.14959656,0.45393148,0.20605378,0.08835151,114.494446,0.0,66.08238,21.835215,476.7766,68.44056,67.41284,-20.618694,3.8277721,12.160038,147.86652,1.8607517
5_669,0.9671787,-1.5653418,-0.15321599,0.44971654,0.20224495,0.08453707,111.60335,0.0,67.24499,20.660454,426.85437,68.31349,62.365997,-18.385557,3.9189854,12.301583,151.32895,2.8399725
5_670,0.9853035,-1.7545716,-0.14761081,0.42714328,0.18245137,0.01731136,112.06897,0.0,67.55991,20.584763,423.73242,68.09074,77.36284,-18.815018,3.9243376,11.626353,135.17209,2.7195482
5_671,0.977626,-1.7325996,-0.14361738,0.45098266,0.20338535,0.061671466,115.194,0.0,67.124374,20.72009,429.32214,67.95253,66.86864,-20.601181,3.5313234,12.136574,147.29642,1.8943679
5_672,0.99231946,-1.3130045,-0.16298705,0.43187538,0.18651633,0.004352275,107.10863,-2.715712,68.16114,20.58023,423.5459,68.506714,72.796036,-16.134874,4.2697563,12.02033,144.48834,3.344497
5_673,0.99683535,-1.9126472,-0.14761676,0.44043761,0.19398528,0.059299838,111.64379,-1.5013542,67.53035,20.479498,419.40982,67.08059,82.97122,-21.573238,4.0623183,11.637991,135.44284,3.3070862
5_674,0.9942484,-1.4087077,-0.14712252,0.35294965,0.12457345,-0.0016485717,100.65772,-1.1530526,67.56203,17.883608,319.82343,70.13688,74.762314,-23.458344,3.5983338,10.263719,105.34392,3.8620481
5_675,0.9876124,-1.6859071,-0.14915483,0.44541696,0.19839627,0.075527444,109.78093,-5.1348476,67.31163,21.2651,452.20447,67.26018,76.52168,-18.2606,4.0275745,11.671683,136.2282,2.079084
5_676,0.97140837,-1.5482523,-0.15208778,0.43018886,0.18506245,0.06320286,111.23399,0.0,68.12774,19.906017,396.24954,68.36861,66.70635,-17.007847,3.9023993,11.87667,141.05528,2.9961176
5_677,0.98731935,-1.2295344,-0.12622072,0.39580175,0.15665902,0.031279996,103.865204,-3.2285783,68.18278,17.84466,318.43192,68.25941,74.23651,-17.021711,3.5516617,10.746912,115.49611,2.6854053
5_678,0.97860014,-1.4488803,-0.14837305,0.43701908,0.19098568,0.045134727,108.59499,0.0,67.394745,20.25383,410.21762,68.1591,64.57171,-13.788,3.8448043,11.796886,139.16652,2.5298653
5_679,0.9907865,-1.5574859,-0.13259639,0.38220719,0.14608233,0.035937987,103.45269,-2.8855414,67.61824,19.153105,366.84143,68.39748,80.36618,-17.14626,4.048247,10.170384,103.436714,3.3252373
5_680,0.97607636,-1.2962863,-0.14688185,0.44124824,0.1947,0.078222096,106.86377,-1.3461571,68.17186,19.650944,386.15958,67.273926,73.60752,-14.432815,3.8458436,11.638725,135.45992,2.6488872
5_681,0.96373093,-1.18143,-0.13933441,0.4124669,0.17012896,0.08523221,102.86391,0.0,67.78624,19.396662,376.2305,68.2584,67.98768,-15.980681,3.721731,11.036367,121.8014,2.3318172
5_682,0.9785028,-1.6625545,-0.16058555,0.47264078,0.2233893,0.07424051,112.89081,-3.4454815,65.84633,22.856432,522.41644,67.6782,68.08838,-18.562206,4.146961,12.655004,160.14912,2.4231129
5_683,0.99265933,-1.5760726,-0.14147723,0.3775152,0.14251772,0.018133234,106.87768,-2.3347945,68.367,18.997171,360.89255,68.599915,78.8372,-16.727484,3.931178,10.444451,109.086555,3.608951
5_684,0.9923731,-1.7150424,-0.13866875,0.37160528,0.13809049,0.06424854,99.774956,-6.358576,68.38115,18.950394,359.11743,67.71987,92.230385,-18.565756,4.342758,9.77719,95.593445,3.8808932
5_685,0.97493607,-1.4331048,-0.12981027,0.36195868,0.13101408,0.048389625,101.05831,-0.43045333,68.05575,18.273386,333.91663,69.49236,77.13663,-16.216324,3.6075287,9.942523,98.85376,3.2987883
5_686,0.98947066,-1.4336655,-0.14140126,0.367327,0.13492912,-0.0170102,103.0388,-4.018868,67.803986,19.12854,365.90106,69.26279,78.565865,-20.011198,4.0824575,10.322289,106.54967,3.5053043
5_687,0.99581057,-1.3369575,-0.1500031,0.4201143,0.17649604,0.019834768,107.44318,-4.7542067,68.18969,19.59479,383.95575,68.089035,76.12048,-19.623148,4.148073,11.568169,133.82253,2.908401
5_688,0.9774968,-1.3936013,-0.14991763,0.468345,0.21934703,0.08757325,109.09158,-1.7272445,67.39271,21.266798,452.2767,66.32552,73.37451,-17.903957,4.050035,12.040578,144.97551,2.5412788
5_689,0.98677135,-1.458315,-0.16380402,0.4350051,0.18922944,0.038849056,108.76039,-5.0315824,67.62452,21.66683,469.4515,68.13697,68.61457,-22.479416,4.1341305,12.118319,146.85365,2.6862435
5_690,0.9893195,-1.7053857,-0.14423597,0.3950577,0.15607059,0.075293526,107.76899,-2.0014215,66.895134,20.959215,439.28873,68.96355,77.59294,-21.845938,3.9597502,10.708793,114.67824,2.6233692
5_691,0.9629232,-1.2473336,-0.13798931,0.3876809,0.15029648,0.049345676,103.595924,-0.14271708,68.28914,18.433088,339.77878,69.14121,69.517624,-14.350639,3.608243,10.665312,113.74888,2.99402
5_692,0.9843336,-1.4083706,-0.13895573,0.42714876,0.18245606,0.078406446,108.452126,-3.6755078,68.316345,18.79202,353.14005,67.202576,73.89025,-15.784654,3.6776817,11.196342,125.35809,2.387415
