,p_max,p_min,p_avg,p_std,p_var,p_mid,vx_max,vx_min,vx_avg,vx_std,vx_var,vx_mid,vy_max,vy_min,vy_avg,vy_std,vy_var,vy_mid
0_0,0.9899008,-1.2528658,-0.11994022,0.33497536,0.112208486,0.009139121,134.40453,0.0,87.72008,22.213705,493.44867,87.92914,78.16926,-33.951138,2.6272023,12.168826,148.08034,1.4061706
0_1,0.97822994,-1.0414842,-0.14027415,0.34365252,0.118097045,0.038152725,128.33592,0.0,87.9318,23.806465,566.74774,88.78445,69.90894,-39.984764,2.9176862,12.978964,168.4535,2.1970978
0_2,0.99867105,-1.3294433,-0.12114188,0.32528087,0.105807655,0.048480734,134.80135,0.0,87.86653,22.110878,488.89093,88.411514,81.95983,-32.320213,2.4959216,11.686816,136.58168,1.908781
0_3,1.0045053,-1.5051509,-0.14000426,0.35523906,0.12619479,-0.051219855,141.2387,0.0,86.795456,24.734163,611.7788,90.21093,80.819016,-41.182716,2.6711636,13.783466,189.98395,1.7629946
0_4,0.9862698,-0.86783737,-0.11839592,0.3090887,0.09553582,-0.005823314,121.73338,0.0,87.73232,21.360844,456.28568,88.54602,75.4104,-28.741835,2.7552845,11.142135,124.147156,2.2947419
0_5,0.9488105,-1.0598274,-0.12778282,0.32740355,0.10719309,-0.018329818,128.80476,0.0,88.265366,22.058498,486.5774,89.0029,73.196014,-26.933056,2.630591,12.114504,146.7612,1.8864857
0_6,1.0018276,-1.1829547,-0.1429683,0.36755985,0.13510025,0.026294969,133.97073,0.0,87.51397,24.58599,604.47095,88.852264,76.08893,-38.688778,2.7509696,13.654378,186.44203,1.767931
0_7,0.99570507,-1.3502159,-0.13354203,0.340191,0.11572993,0.031505417,135.89195,0.0,87.48241,23.87144,569.8457,88.634186,78.62539,-38.981293,2.575135,12.731653,162.09499,2.1209052
0_8,0.9553703,-1.0248688,-0.12019089,0.3163862,0.10010022,-0.012640456,123.98432,0.0,87.18949,22.55763,508.8467,89.001526,79.333916,-28.358288,2.6962051,11.491001,132.0431,2.6314015
0_9,0.98960745,-1.2107751,-0.12875769,0.3409262,0.116230674,0.009297729,128.41025,0.0,88.09147,22.782396,519.0376,88.45026,83.56926,-34.395603,2.533633,12.495049,156.12627,2.1170013
0_10,0.9971881,-1.1525838,-0.14913674,0.3718623,0.13828155,-0.007093228,133.01376,-1.3201352,87.60473,25.20899,635.4932,88.68371,77.94028,-31.978916,3.4080513,13.612347,185.29599,2.9213037
0_11,0.9763006,-1.1003864,-0.12976858,0.34110272,0.11635107,0.018953826,129.06992,0.0,87.84268,22.954437,526.9062,88.11653,74.59896,-35.271217,2.6647398,12.753769,162.65862,1.7920182
0_12,0.9907156,-1.2565078,-0.14348264,0.3563044,0.12695283,0.032227997,136.26978,0.0,87.54873,24.362545,593.5336,89.20793,65.988335,-43.392246,2.848482,13.781834,189.93893,2.9082572
0_13,1.0084662,-1.4446449,-0.1449432,0.38713303,0.14987198,0.016628988,140.86539,0.0,85.09772,28.169214,793.50464,88.82618,74.746506,-47.35252,3.326468,14.44791,208.74211,2.6120963
0_14,0.99841875,-1.4680963,-0.12172605,0.35089839,0.12312967,0.025306512,140.24577,0.0,85.15298,24.711542,610.66034,89.19624,76.11321,-39.278896,2.376911,12.683183,160.86311,1.7194822
0_15,0.9983013,-1.4173616,-0.120928526,0.33040422,0.10916696,0.030763183,134.5469,0.0,87.26188,23.467867,550.7408,88.05675,86.217964,-32.614666,2.67105,11.637893,135.44054,2.2239451
0_16,0.97535914,-0.9311818,-0.119525515,0.31852153,0.101455964,0.040287975,124.82379,0.0,87.616806,22.135733,489.9907,89.10636,65.807686,-32.871017,2.3813632,11.789217,138.98564,1.8994457
0_17,0.9947162,-1.4852875,-0.15246838,0.3983209,0.15865955,0.023937186,142.9141,0.0,87.36512,25.437943,647.0889,88.32003,58.882545,-37.388966,3.252962,14.923131,222.69984,3.000207
0_18,0.99730074,-1.3871341,-0.112543024,0.30123976,0.0907454,0.03424754,134.26451,0.0,87.91645,21.345297,455.62167,87.82651,87.06952,-38.594627,2.724685,10.84298,117.57021,2.349561
0_19,0.94349116,-1.1843209,-0.14405465,0.34960037,0.12222042,-0.0030471692,132.63132,-1.6367036,87.77194,23.61837,557.8274,89.38474,58.966938,-29.29396,2.9311628,13.333036,177.76985,2.8508663
0_20,0.9431896,-1.2613258,-0.14469482,0.36700627,0.13469361,-0.006961662,135.67984,0.0,88.49579,22.895136,524.18726,89.41351,64.78132,-25.16695,2.6780944,13.770842,189.63608,2.5233116
0_21,0.97815543,-0.9787469,-0.12284694,0.29320976,0.08597196,-0.007779644,124.47467,0.0,87.849014,21.776606,474.22055,89.80128,73.74381,-31.434729,2.5380356,11.179064,124.97147,2.5754125
0_22,0.99692714,-1.0390334,-0.13636105,0.34619632,0.11985189,0.031766582,129.66412,0.0,86.959045,25.148224,632.43317,88.88576,75.29596,-41.021782,2.8583035,12.828307,164.56548,2.2247427
0_23,0.9810918,-1.0858144,-0.11945219,0.3035401,0.09213661,-0.020814048,129.29271,0.0,87.33754,22.172035,491.59915,89.66767,67.37207,-33.37175,2.4068508,11.616469,134.94235,1.7870659
0_24,0.9987214,-1.2885393,-0.12967081,0.3724158,0.13869354,0.043844372,136.71829,0.0,88.014404,22.747765,517.46075,87.58835,77.086914,-32.227573,2.3540726,13.393323,179.3811,2.262938
0_25,0.9899473,-1.0358081,-0.14045256,0.3159903,0.099849865,-0.020645112,123.878296,0.0,88.16136,23.409101,547.986,89.85451,80.13323,-35.32238,3.0185554,12.300699,151.3072,3.1767187
0_26,0.9868705,-0.9578588,-0.1333418,0.2974558,0.08847995,-0.033456657,122.172455,0.0,87.45611,23.241974,540.18933,90.65248,76.988144,-31.996252,2.75888,11.628138,135.2136,2.894527
0_27,0.9370967,-1.2097805,-0.112297535,0.34314334,0.11774735,0.042851638,133.50848,0.0,87.30746,21.790684,474.83392,88.26874,64.702614,-27.760878,2.3836558,12.198987,148.81529,1.7771509
0_28,0.98874193,-1.0180433,-0.12814005,0.31814876,0.10121864,-0.02886568,125.2406,0.0,87.89773,22.45188,504.08685,89.40409,79.58278,-36.899597,2.8871603,12.105672,146.5473,2.8596606
0_29,0.9958385,-1.0100018,-0.12116424,0.29358977,0.086194955,0.0038601235,126.75134,0.0,88.385445,21.172232,448.26343,88.9971,77.741684,-35.220024,2.7634575,11.218831,125.86216,2.9133618
0_30,0.9891514,-1.2279184,-0.12762524,0.32897547,0.10822486,0.011009077,131.52396,0.0,87.610344,22.977505,527.9657,88.4588,80.99278,-41.0149,2.6423903,12.496855,156.17137,1.9941409
0_31,0.98001766,-1.1963202,-0.12002173,0.29910433,0.089463405,0.0138025,130.31828,0.0,86.68339,23.153404,536.08014,89.81825,79.39232,-41.12197,2.6421204,11.213973,125.75318,2.420711
0_32,0.9899618,-1.0305556,-0.12741867,0.2978555,0.08871789,-0.035834037,126.79529,0.0,86.35417,22.00559,484.246,90.311844,63.639275,-38.907795,2.0764825,11.652873,135.78946,0.83556795
0_33,0.9863571,-1.0362924,-0.13386656,0.30932483,0.09568185,-0.03667929,128.05089,0.0,87.511925,23.731827,563.1996,90.59002,75.011475,-37.92301,2.0516734,12.365591,152.90785,2.0814507
0_34,1.004951,-1.1273476,-0.12177588,0.32212847,0.103766754,-0.030390017,126.89991,0.0,86.94319,22.881609,523.568,89.5701,77.471634,-48.37152,1.722691,12.589502,158.49557,1.3119972
0_35,0.99911577,-1.2138724,-0.1351061,0.33702946,0.11358885,-0.015862303,133.92874,0.0,87.92276,22.973387,527.7765,89.12574,69.58999,-36.651455,2.8901381,13.064083,170.67026,2.6411712
0_36,1.0035334,-1.0742185,-0.1418187,0.31444472,0.098875485,-0.01998917,125.70519,0.0,87.72744,23.752766,564.19385,90.15946,76.37672,-44.46205,2.3705325,12.930907,167.20836,2.9352334
0_37,0.9956144,-1.3219334,-0.13964608,0.37933,0.14389125,-0.008581046,137.82442,0.0,87.31965,24.141367,582.8056,88.45599,73.363945,-38.13731,2.726837,14.30538,204.64389,2.11588
0_38,0.98692286,-1.3366941,-0.13865888,0.36715972,0.13480626,0.019726876,137.19139,0.0,86.611435,24.721554,611.1552,89.52233,60.889942,-40.044052,2.5930195,13.724237,188.35469,1.6260521
0_39,0.9998663,-1.4687842,-0.13053447,0.35505888,0.1260668,0.008083329,136.86497,0.0,88.30418,22.224174,493.9139,88.503685,87.79146,-40.412983,2.2898753,12.918373,166.88437,2.2392302
0_40,0.9800489,-1.2219374,-0.12026337,0.3272123,0.10706788,0.044169426,133.04088,0.0,88.04809,21.606062,466.8219,88.34783,77.14671,-38.914948,2.4151537,12.0086975,144.20882,2.1647825
0_41,0.9951434,-0.8842039,-0.12124969,0.328899,0.108174555,0.044559546,122.296715,0.0,86.97844,23.201496,538.3094,88.273476,73.3169,-34.02654,2.6611369,11.783852,138.85916,1.5339975
0_42,1.006869,-1.1139708,-0.15503882,0.37230432,0.1386105,-0.03179779,131.29292,-5.1880665,86.59687,26.831305,719.91895,88.80765,79.76244,-38.69698,3.3949637,14.234611,202.62415,2.75789
0_43,0.99602836,-1.2219889,-0.15460128,0.3825171,0.14631933,-0.004543791,135.35399,0.0,87.369095,25.800629,665.6724,88.32529,74.41005,-37.01632,3.359508,14.398493,207.3166,2.6608717
0_44,0.9610033,-1.4150101,-0.13405073,0.37081492,0.13750371,0.016053725,140.51619,0.0,87.537415,23.561598,555.1489,88.325035,60.521385,-32.1084,2.7292175,13.811336,190.75299,2.2461772
0_45,0.9639076,-1.061512,-0.12410088,0.32998928,0.10889293,0.014928793,128.94202,0.0,86.95035,23.410799,548.06555,89.493645,73.2691,-35.909966,2.569773,12.177192,148.284,1.8199672
0_46,0.97520185,-1.2047135,-0.12702979,0.36894095,0.13611743,0.05833769,134.43417,0.0,87.02272,24.350164,592.93054,87.54211,74.70875,-35.238052,2.8082101,13.017403,169.45277,2.009629
0_47,1.0009944,-1.4402512,-0.1338704,0.344877,0.118940145,0.0085099535,134.4855,-0.12468417,86.731186,24.093666,580.50476,88.70368,86.72418,-34.73151,2.9559066,12.2332945,149.65349,2.7333512
0_48,0.9959149,-0.9267705,-0.109099485,0.26033503,0.06777433,0.018229026,120.69005,0.0,87.58849,20.961245,439.3738,89.92826,77.61908,-40.415447,2.48673,9.951819,99.03872,2.3629043
0_49,0.9918247,-1.364812,-0.12324641,0.30235288,0.09141727,-0.0029702112,134.4932,0.0,87.66137,22.332964,498.76126,89.9854,82.363846,-41.87237,2.0597847,11.601699,134.59943,1.6479287
0_50,0.9998271,-1.431314,-0.12926546,0.3288526,0.10814403,-0.035473228,140.89038,0.0,87.63518,22.652308,513.127,90.19214,67.667305,-33.682693,2.4129014,12.949321,167.6849,2.484667
0_51,0.98402596,-1.258888,-0.12940206,0.37042478,0.13721451,0.04815612,134.87488,0.0,85.71328,24.780321,614.06433,88.45839,77.82675,-38.90865,2.4865694,13.1419,172.70955,1.2869337
0_52,0.9736886,-1.003629,-0.1352975,0.30635795,0.09385519,-0.04971949,125.38246,0.0,87.01591,22.522224,507.2506,90.80331,69.283714,-32.6681,2.2906427,12.178792,148.32297,2.6963718
0_53,1.0055327,-1.4270346,-0.11713327,0.35087088,0.12311038,0.037279118,139.43567,0.0,87.39206,22.546326,508.3368,87.70157,77.88325,-43.68666,1.8705983,12.706068,161.44417,1.2303312
0_54,0.996403,-1.0806539,-0.1341786,0.36902887,0.13618231,0.0559083,130.79381,0.0,87.66983,23.562054,555.1704,87.366806,74.80712,-34.36586,2.5790613,13.320101,177.4251,1.9876213
0_55,1.0046543,-1.388498,-0.14049263,0.3550974,0.12609416,-0.042048037,137.83827,0.0,88.43344,22.745018,517.3358,89.52911,81.81666,-36.531105,2.6292336,13.451769,180.95009,2.0886784
0_56,0.9922813,-1.2317103,-0.13923684,0.3574818,0.12779325,-0.007715412,135.64993,0.0,87.637146,24.00431,576.2069,89.61153,75.121635,-37.385857,2.2724965,13.765425,189.48692,2.5109334
0_57,0.99935704,-1.5832034,-0.13107887,0.35664806,0.12719783,-0.025613904,142.82216,-2.2769754,85.56894,24.777184,613.9088,88.55526,79.80129,-35.36017,2.6222675,13.057187,170.49013,1.7627783
0_58,0.980122,-1.099423,-0.13074146,0.31914413,0.101852976,-0.021668825,130.35683,0.0,88.57435,21.713924,471.4945,89.51011,69.26439,-28.997421,2.6637561,12.09338,146.24985,2.0481176
0_59,0.9984919,-1.2613959,-0.14275123,0.37508368,0.14068776,0.01692817,135.48694,0.0,87.465866,24.640259,607.1424,88.235466,65.45586,-40.225964,2.9811072,13.990162,195.72462,2.138422
0_60,0.9765519,-0.83265686,-0.1322271,0.3032859,0.09198234,-0.029520053,122.701294,0.0,88.74483,21.73873,472.57233,89.83753,75.74414,-22.744068,2.9493177,11.538569,133.13858,3.2539768
0_61,0.98417383,-1.4471251,-0.1477951,0.40452692,0.16364202,-0.020336553,141.94153,0.0,87.54489,24.763502,613.231,88.58629,68.813255,-31.854265,2.790778,15.007081,225.21248,1.974248
0_62,0.9823775,-0.9555688,-0.1211172,0.32440126,0.10523617,0.04773884,124.16469,0.0,88.043365,21.995237,483.7905,87.84044,75.64503,-35.215786,2.7270622,11.74451,137.9335,2.3195653
0_63,0.9908769,-1.0890299,-0.13908981,0.36277142,0.1316031,0.050295044,130.886,-2.2479887,87.45873,24.686266,609.41174,87.47392,78.33227,-35.446987,3.079491,13.030113,169.78386,2.654174
0_64,1.0076919,-1.460344,-0.15479441,0.41600117,0.17305698,-0.016549505,141.87158,-1.2532296,85.38926,28.446093,809.1802,88.02123,77.5832,-39.024284,3.4329834,15.289104,233.75671,1.9781836
0_65,0.995259,-1.362884,-0.13686796,0.35172728,0.12371207,-0.011372309,139.13158,0.0,87.81999,23.204185,538.43427,89.64076,64.01176,-30.42028,2.5545218,13.447785,180.84293,2.4181156
0_66,1.0032507,-1.2435545,-0.13999006,0.328319,0.107793376,-0.022553593,134.84389,0.0,87.98254,23.08848,533.0779,89.597984,72.097084,-39.64868,2.928961,12.974203,168.32994,2.948559
0_67,1.0059439,-1.1155072,-0.15511854,0.3486174,0.1215341,-0.02252916,130.57066,-4.247277,87.07071,25.858809,668.678,89.95593,65.59971,-44.529152,2.5642943,14.055557,197.5587,2.6012876
0_68,0.99444926,-0.95474863,-0.14022063,0.3306978,0.10936103,-0.01765354,126.667114,0.0,88.0746,23.420052,548.4988,89.48321,76.47392,-36.67698,3.1402042,12.823014,164.4297,3.301738
0_69,0.97437096,-0.9502693,-0.12389451,0.3208215,0.102926426,0.013628604,125.262726,0.0,87.62532,22.266058,495.77737,88.999954,68.93034,-33.09185,2.6125283,12.009125,144.21907,2.4373527
0_70,1.0048935,-1.4955163,-0.15450117,0.37989587,0.14432088,-0.04372887,142.96872,0.0,87.48632,25.044329,627.2184,90.326096,74.5685,-36.927887,2.546134,14.908261,222.25626,2.3792408
0_71,1.0013685,-1.370452,-0.1338723,0.32496345,0.105601236,-0.048285417,135.86792,0.0,85.40245,25.605755,655.65466,89.96943,79.43564,-43.158028,2.4965491,12.520948,156.77415,1.9072106
0_72,0.9492925,-1.3194237,-0.11682548,0.36754107,0.13508645,0.05546463,136.73683,0.0,86.819275,22.918816,525.2721,87.680695,59.379498,-32.838596,2.439279,13.021303,169.55434,1.3069074
0_73,1.0052179,-1.125716,-0.14143251,0.3706069,0.13734947,0.021468759,132.68674,0.0,87.102875,25.391722,644.73956,88.09235,75.272736,-38.27612,2.896541,13.857544,192.03152,1.9289113
0_74,0.9898334,-1.1206431,-0.12163763,0.35214138,0.124003544,0.056262944,130.67558,0.0,86.94847,23.134348,535.19806,88.217285,65.11818,-32.057995,2.3859348,12.547274,157.43408,1.2605945
0_75,0.98813534,-1.2030782,-0.124900766,0.34825632,0.121282466,0.043576818,133.02052,0.0,88.29894,21.92999,480.9245,87.7607,80.19476,-35.0104,2.3715374,12.598469,158.72142,2.1285033
0_76,0.9978168,-1.4185717,-0.1256401,0.3342425,0.11171805,0.022274937,135.62245,0.0,88.07907,21.697903,470.799,88.330475,85.03606,-34.304684,2.2596269,12.158114,147.81975,2.23764
0_77,0.9925749,-1.1357719,-0.14783043,0.36253273,0.13142999,-0.027095033,132.47006,0.0,87.85067,24.428913,596.7718,89.07817,67.13268,-29.479856,3.0822816,13.885273,192.8008,2.739023
0_78,0.98947257,-0.99684924,-0.12966733,0.340425,0.11588919,0.006022728,128.02872,0.0,87.81838,23.122442,534.64734,88.61222,72.910225,-29.712921,2.8687932,12.583262,158.33849,2.895669
0_79,0.9862,-1.0490885,-0.1134808,0.2861631,0.08188932,-0.02550473,128.55902,0.0,87.475624,21.327047,454.843,89.74011,67.084724,-33.437016,2.4039927,11.340545,128.60796,2.2666075
0_80,1.0056152,-0.98345727,-0.123665094,0.29907033,0.089443065,-0.030877475,125.661316,0.0,86.368355,24.08749,580.2072,91.09096,72.66611,-51.592228,1.7373545,11.998419,143.96205,1.0013857
0_81,0.9842773,-1.2146417,-0.14103213,0.38149613,0.1455393,0.027410561,134.79137,0.0,87.399796,25.002142,625.1071,88.08897,72.22876,-31.364285,3.249912,13.587937,184.63203,2.5519505
0_82,0.9964727,-1.3463774,-0.12431812,0.3482021,0.12124471,0.0074471286,132.71954,0.0,87.6954,22.733292,516.80255,88.58705,85.20827,-37.733276,2.1550615,12.626731,159.43433,1.0621958
0_83,0.9930616,-1.1215928,-0.13454239,0.34625608,0.119893275,0.045415632,130.36888,0.0,86.999115,23.769857,565.00616,88.89313,62.39061,-43.901005,2.8786259,13.033169,169.8635,2.0457377
0_84,0.9935761,-1.4843401,-0.124180846,0.35080898,0.12306695,0.00891768,141.50923,0.0,87.93482,22.140335,490.19443,88.848305,75.78717,-37.889484,1.9373426,12.897937,166.35677,0.6854313
0_85,0.9811577,-1.3993324,-0.15877655,0.38584763,0.14887838,-0.033491835,140.44293,0.0,86.946,26.840689,720.42255,89.56749,67.638985,-37.216923,3.5791862,14.705535,216.25276,2.9668326
0_86,0.96425277,-0.8929485,-0.1294771,0.32015684,0.10250041,0.03980292,123.56774,0.0,87.38165,23.163528,536.5491,89.472946,70.8161,-38.07946,2.7065363,11.964621,143.15215,2.1616795
0_87,0.9976141,-1.2270517,-0.14038043,0.32699493,0.10692569,-0.012929134,131.03593,-2.5846303,86.63395,25.577168,654.19147,89.017136,79.57585,-42.295998,2.8893442,12.859088,165.35614,1.8929938
0_88,0.99980974,-1.0712979,-0.14431408,0.3839,0.1473792,0.06458792,128.71696,-4.455556,85.2351,27.432674,752.5516,88.30072,78.291466,-39.53529,2.9116826,13.5370035,183.25046,1.8833292
0_89,0.99799776,-0.88218516,-0.13646784,0.3245727,0.10534745,0.025052443,122.87987,-2.1944628,87.35577,23.873243,569.9317,89.276566,73.84394,-38.95717,2.9740949,12.119555,146.88362,2.7651725
0_90,0.94790494,-1.2277374,-0.13635518,0.37895495,0.14360684,0.00988142,135.0292,0.0,87.6545,23.984568,575.2595,88.14778,67.7256,-23.911715,2.8994997,13.585769,184.57312,2.241744
0_91,0.9861641,-1.3180144,-0.12752989,0.3250682,0.10566934,-0.02945927,132.20682,0.0,87.799774,22.734406,516.8532,88.90693,85.39229,-28.90111,2.7818148,12.1461115,147.52802,2.2245216
0_92,0.95700175,-0.95262265,-0.14406879,0.32105505,0.10307635,-0.04415024,125.29668,0.0,88.6005,22.890133,523.9582,90.65762,69.38503,-28.505972,2.6875603,12.805024,163.96864,2.9651854
0_93,0.99010605,-1.220571,-0.13538204,0.3775559,0.14254847,-0.0017125783,135.00934,0.0,88.3963,22.314129,497.92038,87.629944,75.27631,-31.888504,2.745562,13.654936,186.45728,2.2682157
0_94,0.9943586,-1.4515624,-0.12971228,0.3909066,0.15280798,0.03238989,140.24673,0.0,86.37743,25.05745,627.87573,87.41282,79.669044,-36.923916,2.6644123,13.753657,189.1631,1.0153577
0_95,0.98482764,-1.2993522,-0.1385287,0.3760878,0.14144205,0.012871552,136.5125,0.0,87.50974,24.013918,576.6683,88.43545,71.75876,-33.354923,2.4363508,14.09714,198.72935,1.7261586
0_96,0.98564553,-1.0624092,-0.12972595,0.36456347,0.13290653,0.056194007,128.78957,0.0,87.41812,23.539368,554.1018,88.00043,72.0413,-40.078873,2.4868228,13.167697,173.38824,1.9126735
0_97,0.98439413,-1.5281374,-0.15928301,0.42508927,0.18070088,0.0163536,144.17404,-2.6764557,86.125084,28.091097,789.10974,87.89789,63.520782,-33.531242,3.2742112,15.651105,244.95708,2.097575
0_98,0.98991305,-0.9842601,-0.104372166,0.28434488,0.08085201,0.006845457,123.77206,0.0,87.303535,20.857834,435.04926,89.25427,79.152176,-35.187874,2.5229602,10.2489395,105.040764,2.0833673
0_99,0.987571,-1.5493875,-0.13764417,0.39979637,0.15983714,0.029176822,142.9304,0.0,84.99939,26.131374,682.84875,87.91202,72.94709,-41.0549,2.7197797,14.130712,199.67702,0.9083219
0_100,0.9847204,-0.9682846,-0.13655472,0.32723272,0.10708125,0.0228752,126.61415,0.0,87.932655,23.293926,542.607,89.77348,79.23044,-37.809235,2.9300566,12.417762,154.2008,2.5869277
0_101,0.9693503,-1.0344542,-0.118937686,0.33141536,0.10983614,0.050636686,129.35828,0.0,87.90067,21.89479,479.38184,87.71822,75.09871,-37.326088,2.5802746,11.999986,143.99965,1.9488277
0_102,0.9634982,-1.1931041,-0.14436874,0.35971212,0.1293928,0.00080717634,134.20566,0.0,87.9195,24.322355,591.57697,89.258095,68.51823,-29.1268,2.8948162,13.487663,181.91705,2.6529064
0_103,1.0054084,-1.7098807,-0.14190608,0.4228367,0.17879087,0.010572091,149.09303,0.0,84.98856,27.67113,765.69135,87.282166,70.55176,-39.68617,3.2502232,15.116431,228.5065,1.9326062
0_104,0.97029316,-1.1826522,-0.12462345,0.29728127,0.08837614,-0.037811276,127.183525,0.0,87.169106,22.725754,516.4599,89.758286,82.60775,-33.502556,2.6616707,11.223767,125.972946,2.44596
0_105,0.9963031,-1.2702996,-0.14546545,0.38043225,0.14472869,0.01939956,134.42474,0.0,88.0423,23.77359,565.1836,87.883316,71.61647,-42.560993,2.7080495,14.150249,200.22954,2.2734482
0_106,0.97979856,-1.0386672,-0.13146052,0.33416715,0.11166768,-0.01141841,127.91845,0.0,87.00134,23.533688,553.8345,89.20047,79.04346,-37.04182,3.1236582,12.461107,155.2792,3.1653244
0_107,0.9589675,-0.8897648,-0.13086933,0.28450283,0.08094187,-0.054414958,121.41919,0.0,87.7247,21.135883,446.72556,90.92934,69.51457,-33.313625,2.3448033,11.401583,129.9961,2.727412
0_108,0.9975984,-1.2164186,-0.119780645,0.3429173,0.11759227,0.053202905,133.85397,0.0,87.82592,22.034763,485.5308,87.408035,73.23197,-34.728443,2.3617344,12.321888,151.82892,1.7771307
0_109,1.0048811,-1.4618082,-0.14458613,0.38611016,0.14908105,0.0019574896,141.78079,0.0,87.798386,24.065718,579.15875,88.726105,67.74921,-40.589054,2.5487182,14.501555,210.29512,1.7780014
0_110,1.0027258,-1.0997435,-0.13204084,0.33459574,0.11195432,-0.008904291,127.45534,0.0,88.24407,22.46612,504.7265,89.09556,80.9701,-37.10775,2.4809198,12.971081,168.24895,2.6376288
0_111,0.95703715,-1.2029551,-0.12352006,0.32179382,0.10355127,0.0077920808,133.07018,0.0,87.69987,21.853203,477.56247,89.11502,62.75996,-31.992533,2.4918325,12.081277,145.95726,2.2655053
0_112,0.99778074,-1.218541,-0.14962208,0.38337344,0.14697519,-0.014124451,134.99294,0.0,87.896866,24.32753,591.8287,88.75942,72.11846,-42.83172,2.9962423,14.623255,213.83958,2.6152234
0_113,0.9965823,-0.9487807,-0.11906195,0.30164292,0.09098845,0.020363003,120.73709,0.0,87.10007,22.486183,505.62845,89.357,78.94303,-39.751385,2.6897423,11.24711,126.49749,2.3870473
0_114,0.9758539,-1.1063485,-0.117612705,0.3258763,0.10619537,0.046393815,125.83423,0.0,87.888275,21.784498,474.56433,87.80043,81.95255,-36.032013,2.5558639,11.684651,136.53107,2.2547712
0_115,1.0054052,-0.9042393,-0.13704236,0.29751328,0.08851414,-0.043801703,122.400696,-0.3177056,86.41222,25.11926,630.97723,90.84981,70.39781,-50.34426,2.3056607,12.310227,151.5417,2.2691047
0_116,1.0023996,-1.3596878,-0.1337848,0.3564958,0.12708926,0.01935679,133.12105,0.0,88.17286,22.897032,524.27405,88.38128,85.4064,-35.38538,2.290994,12.858568,165.34277,1.4861059
0_117,0.94137925,-1.0575094,-0.14156908,0.36356962,0.13218287,0.02563202,129.92853,0.0,88.36214,23.325613,544.0842,88.15915,70.33472,-25.141483,2.888554,13.170446,173.46066,2.6185298
0_118,0.9834872,-1.2967553,-0.12720394,0.3639472,0.13245757,0.06284483,136.09946,0.0,87.191925,23.61923,557.86804,87.33033,74.84761,-35.37277,2.603984,12.927871,167.12984,1.2940224
0_119,1.002329,-1.0429795,-0.15095896,0.34095034,0.11624714,-0.010231988,129.87419,-0.32356453,87.863335,24.885979,619.31195,89.25676,77.97449,-36.60084,3.3227212,13.293901,176.72781,3.5460618
0_120,0.96294284,-1.3439755,-0.11992889,0.30147445,0.09088684,-0.05073772,133.35541,0.0,88.27545,21.184633,448.78867,89.57067,86.2501,-25.979626,2.5948048,11.283,127.3061,2.1962216
0_121,1.0043427,-1.4720066,-0.13302234,0.36598885,0.13394783,0.024372423,141.06552,-0.29064795,87.00292,24.006468,576.3105,88.19188,78.46668,-45.603485,2.513121,13.550903,183.62698,1.6151431
0_122,0.99757683,-1.0020926,-0.13768856,0.3500441,0.12253086,-0.010903707,128.08163,0.0,87.88734,23.585497,556.27563,88.34841,80.29504,-35.873116,3.290243,13.022071,169.57433,2.858439
0_123,0.9881155,-1.1097827,-0.11944365,0.34469286,0.11881317,0.045696612,131.0951,0.0,87.373566,22.798004,519.749,88.435684,76.10795,-40.52224,2.2865837,12.62972,159.50981,1.5439708
0_124,1.0073979,-1.4048454,-0.17210272,0.39155263,0.15331346,-0.03519027,140.24722,-7.130944,86.0589,28.910612,835.8235,89.616516,72.65789,-39.717747,3.8922074,15.314015,234.51906,3.3696055
0_125,0.9988646,-1.463147,-0.12627164,0.36457634,0.1329159,0.00020598622,137.34648,0.0,88.18304,21.958567,482.17868,87.785095,86.72788,-34.690544,2.3933418,13.092909,171.42427,1.4127162
0_126,1.0052658,-1.1764222,-0.15463796,0.37062323,0.13736157,-0.01651607,134.39162,0.0,87.48233,25.036112,626.8069,89.180786,73.945404,-39.264458,2.623128,14.185733,201.23502,2.5906472
0_127,0.9795815,-1.0341544,-0.12617958,0.3263726,0.106519066,0.011790975,128.68933,0.0,88.34723,21.854465,477.61768,88.797325,66.75229,-28.844889,2.423094,12.034064,144.81871,1.5718815
0_128,0.99354804,-0.89455,-0.11685593,0.2893784,0.083739854,0.04346194,122.339,0.0,88.36806,21.000103,441.0043,88.27466,77.1356,-40.057083,2.7633934,10.810938,116.87637,2.382675
0_129,0.9727089,-0.9615316,-0.11199704,0.28383717,0.08056354,-0.017481936,120.11102,0.0,88.19267,20.368732,414.88528,89.710915,81.29726,-23.087526,2.6867573,10.06083,101.22031,2.5336127
0_130,1.0003253,-1.2749724,-0.13761054,0.33748388,0.11389538,-0.0074419077,135.6174,0.0,86.86624,24.050093,578.407,89.82202,62.075138,-42.799656,2.5176363,13.503122,182.33432,2.8434725
0_131,1.0040183,-1.5192074,-0.13287993,0.37148994,0.13800478,0.018663835,142.39746,0.0,86.47268,25.066277,628.3182,88.339325,76.93597,-41.532715,2.5866425,13.494008,182.08824,1.1404538
0_132,0.9522515,-1.4682926,-0.12193066,0.38198897,0.14591558,0.055974863,142.1452,0.0,87.098495,23.25062,540.5913,87.55313,63.188072,-35.039497,2.5183694,13.548881,183.57217,2.1169276
